,text
rash,43
hypotension,36
thrombocytopenia,28
toxicity,21
diarrhea,18
altered mental status,11
hyperglycemia,10
hypoglycemia,10
constipation,10
withdrawal,10
fever,8
somnolent,8
angioedema,8
bradycardia,8
neutropenia,7
sedation,7
supratherapeutic inr,7
gi bleed,7
gib,6
acute renal failure,6
allergy,6
confused,6
confusion,6
hypotensive,6
nausea,6
neutropenic fever,5
bleeding,5
cardiomyopathy,5
delirium,5
acute kidney injury,5
myopathy,5
renal failure,5
agitation,5
agitated,5
mental status change,5
anaphylaxis,5
nephropathy,5
atn,5
gastric ulcer,4
drowsy,4
sleepy,4
loose stool,4
hypoxia,4
psychosis,4
intoxication,4
elevated lfts,4
leukocytosis,4
am,4
somnolence,4
hyperkalemia,3
hemorrhage,3
capillary leak syndrome,3
reaction,3
hematoma,3
itching,3
maculopapular rash,3
upper gi bleed,3
upper gastrointestinal bleed,3
low blood pressure,3
hit,3
fatigue,3
allergic reaction,3
hallucination,3
arf,3
pulmonary edema,3
brbpr,3
overdose,3
encephalopathy,3
anaphylactic reaction,3
thrush,2
joint pain,2
rr < 12,2
bone marrow suppression,2
tachycardia,2
respiratory failure,2
leukopenia,2
pancytopenia,2
tremulous,2
hypernatremia,2
polyneuropathy,2
acute interstitial nephritis,2
hypercarbia,2
coagulopathy,2
hypothyroid,2
bruising,2
oversedation,2
hypothyroidism,2
ulcer,2
hyponatremia,2
diabetes,2
thrombocytopenic,2
abdominal wall hematoma,2
delirious,2
bradycardic,2
drug reaction,2
tachpyneic,2
sedated,2
diabetes mellitus,2
acute delirium,2
urinary retention,2
hive,2
foreign body crystal,2
hypersensitivity reaction,2
seizure,2
neutropenic,2
drug fever,2
blood pressure intolerance,2
vomiting,2
lft elevation,2
drop in platelet,2
respiratory distress,2
anxiety,2
tachypnea,2
lethargic,2
morbilliform rash,2
mi,2
blood pressure wa low,1
myopathy of the spine,1
nervous,1
diaphoresis,1
elevated glucose,1
pulmonary leak,1
inr wa > 20,1
atra syndrome,1
respiratory suppression,1
elevated bilirubin,1
pinpoint pupil,1
seizure activity,1
sz,1
unresponsive,1
tumor lysis syndrome,1
heart rate wa too slow,1
liver hematoma,1
paranoid,1
chest pain,1
worsens bleeding,1
cardiotoxicity,1
overdiuresis,1
mild congestive heart failure,1
redness on face,1
highly elevated ( 300s ) sugar,1
anaphylactic shock,1
acute shortness of breath,1
bleed in your brain,1
redness on his face,1
antibody pulmonary embolism,1
pruritic rash,1
extremity erythema and itching,1
elevated ammonia,1
elevation in ast/alt,1
tranaminitis,1
elevated eosinophil count,1
bled,1
avascular necrosis,1
low grade fever,1
heme positive stool,1
shortness of breath,1
maculo papular rash,1
heart rate wa low,1
lfts were significantly elevated,1
depressed mental status,1
fatigued,1
psychotic,1
hallucinating,1
self-limited psychosis,1
rigidity,1
intermittent fever,1
light headedness,1
post-atn diuresis,1
sedative,1
acute pancreatitis,1
dehydrated,1
humeral fracture,1
dizziness,1
elevated potassium level,1
gastritis,1
hyperparathyroidism,1
acute on chronic rf,1
nauseous,1
decreased cardiac function,1
right facial droop,1
change in your mental status,1
bronchospastic effect,1
left subconjunctival hemorrhage,1
lethargy,1
dm,1
subconjunctival hemorrhage,1
m change,1
myelosuppression,1
cta showing rll/rml,1
visual hallucination,1
o2 sat acutely dropped,1
decreased her alertness,1
developed a drug rash,1
adrenal insufficiency,1
creatinine increase,1
rectus hematoma,1
large abdominal wall hematoma,1
vagnitis,1
gi bleed ( extensive ),1
hypercarbic,1
extrapyrimidal symptom,1
nsvt,1
increased seizure frequency,1
completely somnolent,1
sleepiness,1
decreased rr,1
decreased his rr,1
dependence,1
lfts were elevated,1
large dark brown bowel movement,1
bleeding gastric ulcer,1
pe,1
toxic,1
elevated cks,1
liver toxicity,1
thigh hematoma,1
complication,1
cardiac event during induction,1
st depression,1
tachycardic,1
extra-pyramidal adverse effect,1
nm,1
elevated ck level,1
leukosuppression,1
hypercalcemic,1
emesis,1
bilateral erythema,1
tremor,1
ataxic gait,1
diffuse rash,1
benzodiazepine intoxication,1
serotonin syndrome,1
wernicke korsakoff 's pathology,1
erythema over trunk,1
marrow suppression,1
redness in leg,1
hypoxemic,1
blood pressure and heart rate were low,1
normocytic anemia,1
methemoglobinemia,1
eosinophilia,1
morbilliform drug erruption,1
crystal,1
bowel necrosis,1
persistent agitation,1
combative,1
acute psychosis,1
severe bilateral upper and lower extremity tremor,1
ugib,1
allergic,1
ich,1
ascites,1
hypercalcemia,1
cirrhosis,1
kidney injury,1
hyperchloremic acidosis,1
swelling of the lip and tongue,1
anaphylaxis type reaction,1
lip and tongue swelling,1
intracranial hemorhage,1
trach bleeding,1
fluid retention,1
post-trach bleeding complication,1
ain,1
cr plateauing at 1.9,1
aching,1
anasarca,1
decreased respiration,1
respiratory depression,1
slurred speech,1
hematocrit drop,1
decreased blood flow to your kidney,1
very confused,1
jaundice,1
b/p dropped to 96/48,1
central apenea,1
somnelent,1
redman syndrome,1
red rash on arm and face,1
erythematous skin reaction,1
tachycardiac,1
/itching,1
facial swelling,1
edema,1
worsening renal function,1
supratherapeutic,1
anemia,1
agitated pruritus,1
pruritus,1
hypoglycemic,1
delerium,1
erythematous skin rash,1
mild chill,1
stress,1
patient 's creatinine began to rise,1
diffuse livido reticularis appearing rash,1
incoherent,1
total body rash,1
swollen eyelid,1
eyelid edema,1
myalgia,1
hypovolemia,1
peripheral eosinophilia,1
transient hypotension,1
toxicicty,1
agranulocytosis,1
nephrotoxic,1
acutely bradycardic,1
